,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,final_evident_index,target_sentence,source_sentence
679,1666,715e7cbf55099da1d16529e5f96c723125369dd632ab63cf2ce538bebe2f6dfd,SPA 2,"Quiero visitar Japón durante la primavera o el verano porque las flores florecerán, el clima es cálido y soleado, habrá muchos mercados al aire libre y puestos que venden bocadillos, habrá más gente jugando afuera y habrá una muchas actividades divertidas Sin embargo, también quiero visitar durante el otoño cuando las flores se están cayendo y hacer un picnic bajo los cerezos en flor.","Quiero visitar Japón durante la primavera o el verano porque las flores florecerán, el clima es cálido y soleado, habrá muchos mercados al aire libre y puestos que venden bocadillos, habrá más gente jugando afuera y habrá [una]{unas}<na:ps:det:inan> muchas actividades divertidas Sin embargo, también quiero visitar durante el otoño cuando las flores se están cayendo y hacer un picnic bajo los cerezos en flor.",[una]{unas}<na:ps:det:inan>,na:ps:det:inan,unas,una,"['Quiero', 'visitar', 'Japón', 'durante', 'la', 'primavera', 'o', 'el', 'verano', 'porque', 'las', 'flores', 'florecerán', ',', 'el', 'clima', 'es', 'cálido', 'y', 'soleado', ',', 'habrá', 'muchos', 'mercados', 'al', 'aire', 'libre', 'y', 'puestos', 'que', 'venden', 'bocadillos', ',', 'habrá', 'más', 'gente', 'jugando', 'afuera', 'y', 'habrá', 'unas', 'muchas', 'actividades', 'divertidas', 'Sin', 'embargo', ',', 'también', 'quiero', 'visitar', 'durante', 'el', 'otoño', 'cuando', 'las', 'flores', 'se', 'están', 'cayendo', 'y', 'hacer', 'un', 'picnic', 'bajo', 'los', 'cerezos', 'en', 'flor', '.']","['Quiero', 'visitar', 'Japón', 'durante', 'la', 'primavera', 'o', 'el', 'verano', 'porque', 'las', 'flores', 'florecerán', ',', 'el', 'clima', 'es', 'cálido', 'y', 'soleado', ',', 'habrá', 'muchos', 'mercados', 'al', 'aire', 'libre', 'y', 'puestos', 'que', 'venden', 'bocadillos', ',', 'habrá', 'más', 'gente', 'jugando', 'afuera', 'y', 'habrá', 'una', 'muchas', 'actividades', 'divertidas', 'Sin', 'embargo', ',', 'también', 'quiero', 'visitar', 'durante', 'el', 'otoño', 'cuando', 'las', 'flores', 'se', 'están', 'cayendo', 'y', 'hacer', 'un', 'picnic', 'bajo', 'los', 'cerezos', 'en', 'flor', '.']","[40, 110]",number agreement,"[67, 68, 69, 70, 137, 138, 139, 140]","Quiero visitar Japón durante la primavera o el verano porque las flores florecerán, el clima es cálido y soleado, habrá muchos mercados al aire libre y puestos que venden bocadillos, habrá más gente jugando afuera y habrá unas muchas actividades divertidas Sin embargo, también quiero visitar durante el otoño cuando las flores se están cayendo y hacer un picnic bajo los cerezos en flor.","Quiero visitar Japón durante la primavera o el verano porque las flores florecerán, el clima es cálido y soleado, habrá muchos mercados al aire libre y puestos que venden bocadillos, habrá más gente jugando afuera y habrá una muchas actividades divertidas Sin embargo, también quiero visitar durante el otoño cuando las flores se están cayendo y hacer un picnic bajo los cerezos en flor."
680,1671,c5a3331dddfad6abfac2fe4751b6cb8e4e7c3834c51683e4b4868295eb51f1a7,SPA 3,Nosotras bailamos mucha.,Nosotras bailamos [mucha]{mucho}<ga:mf:adv:inan>.,[mucha]{mucho}<ga:mf:adv:inan>,ga:mf:adv:inan,mucho,mucha,"['Nosotras', 'bailamos', 'mucho', '.']","['Nosotras', 'bailamos', 'mucha', '.']","[2, 7]",gender agreement,"[0, 1, 5, 6]",Nosotras bailamos mucho.,Nosotras bailamos mucha.
681,1671,e97557fc3692089424ec35a572dce4428157bab3d8acfc70db6761c3319167d4,SPA 3,Nosotros caminamos muchas en la ciudad.,Nosotros caminamos [muchas]{mucho}<ga:na:mf:sp:pron:inan> en la ciudad.,[muchas]{mucho}<ga:na:mf:sp:pron:inan>,ga:na:mf:sp:pron:inan,mucho,muchas,"['Nosotros', 'caminamos', 'mucho', 'en', 'la', 'ciudad', '.']","['Nosotros', 'caminamos', 'muchas', 'en', 'la', 'ciudad', '.']","[2, 10]",gender and number agreement,"[1, 9]",Nosotros caminamos mucho en la ciudad.,Nosotros caminamos muchas en la ciudad.
683,1681,cd94b4aa5d8669cbdeda6034fd64a0706d7efda7e76bee1c5c0021c787c43f3b,SPA 2,Visite muchos museos famoso y attraciones turisticas.,Visite muchos museos [famoso]{famosos}<na:ps:adj:inan> y attraciones turisticas.,[famoso]{famosos}<na:ps:adj:inan>,na:ps:adj:inan,famosos,famoso,"['Visite', 'muchos', 'museos', 'famosos', 'y', 'attraciones', 'turisticas', '.']","['Visite', 'muchos', 'museos', 'famoso', 'y', 'attraciones', 'turisticas', '.']","[3, 12]",number agreement,"[2, 11]",Visite muchos museos famosos y attraciones turisticas.,Visite muchos museos famoso y attraciones turisticas.
684,1681,f4efc0708b54ccec068d83ebbc6014b4cb37beb1d07084fd1fc010283345c188,SPA 2,Mi viaje a Europa es mi mejor vacacion porque tuve mucho divertida.,Mi viaje a Europa es mi mejor [vacacion]{vacaciones}<in:s:noun:inan> porque tuve mucho divertida.,[vacacion]{vacaciones}<in:s:noun:inan>,in:s:noun:inan,vacaciones,vacacion,"['Mi', 'viaje', 'a', 'Europa', 'es', 'mi', 'mejor', 'vacaciones', 'porque', 'tuve', 'mucho', 'divertida', '.']","['Mi', 'viaje', 'a', 'Europa', 'es', 'mi', 'mejor', 'vacacion', 'porque', 'tuve', 'mucho', 'divertida', '.']","[7, 21]",number agreement,"[4, 5, 6, 18, 19, 20]",Mi viaje a Europa es mi mejor vacaciones porque tuve mucho divertida.,Mi viaje a Europa es mi mejor vacacion porque tuve mucho divertida.
685,1681,0c902d0abc4b5f0c571e40eebf835d5ae9aac9aecf77a8dfe09736464a22a7c4,SPA 2,"Mi parte favorito de la vacacione es cuando nostros visitamos Italia porque me gusto Florance mucho, la cuidad es muy bonita y tuvemos divertido cuando caminamos en la calle.","Mi parte [favorito]{favorita}<ga:fm:adj:inan> de la vacacione es cuando nostros visitamos Italia porque me gusto Florance mucho, la cuidad es muy bonita y tuvemos divertido cuando caminamos en la calle.",[favorito]{favorita}<ga:fm:adj:inan>,ga:fm:adj:inan,favorita,favorito,"['Mi', 'parte', 'favorita', 'de', 'la', 'vacacione', 'es', 'cuando', 'nostros', 'visitamos', 'Italia', 'porque', 'me', 'gusto', 'Florance', 'mucho', ',', 'la', 'cuidad', 'es', 'muy', 'bonita', 'y', 'tuvemos', 'divertido', 'cuando', 'caminamos', 'en', 'la', 'calle', '.']","['Mi', 'parte', 'favorito', 'de', 'la', 'vacacione', 'es', 'cuando', 'nostros', 'visitamos', 'Italia', 'porque', 'me', 'gusto', 'Florance', 'mucho', ',', 'la', 'cuidad', 'es', 'muy', 'bonita', 'y', 'tuvemos', 'divertido', 'cuando', 'caminamos', 'en', 'la', 'calle', '.']","[2, 34]",gender agreement,"[1, 33]","Mi parte favorita de la vacacione es cuando nostros visitamos Italia porque me gusto Florance mucho, la cuidad es muy bonita y tuvemos divertido cuando caminamos en la calle.","Mi parte favorito de la vacacione es cuando nostros visitamos Italia porque me gusto Florance mucho, la cuidad es muy bonita y tuvemos divertido cuando caminamos en la calle."
686,1681,2540e0f6ccaceb2c6375478d7d4df6aa37d0558f1535684e15f8a6073370e4cb,SPA 2,Quiero visitar Europa muchas tiempos porque Europe tiene muchas cosas para ver.,Quiero visitar Europa [muchas]{muchos}<ga:fm:det:inan> tiempos porque Europe tiene muchas cosas para ver.,[muchas]{muchos}<ga:fm:det:inan>,ga:fm:det:inan,muchos,muchas,"['Quiero', 'visitar', 'Europa', 'muchos', 'tiempos', 'porque', 'Europe', 'tiene', 'muchas', 'cosas', 'para', 'ver', '.']","['Quiero', 'visitar', 'Europa', 'muchas', 'tiempos', 'porque', 'Europe', 'tiene', 'muchas', 'cosas', 'para', 'ver', '.']","[3, 17]",gender agreement,"[2, 4, 16, 18]",Quiero visitar Europa muchos tiempos porque Europe tiene muchas cosas para ver.,Quiero visitar Europa muchas tiempos porque Europe tiene muchas cosas para ver.
687,1685,26c13f147b739c6a9a64553ea7a386ca88057501b46d628789f2f18396ceb88b,SPA 3,Me gustaría pasar un mes en Cuba porque podría ver todos los lugares de la isla y no quiero pasar demasiado tiempo en la clima cálido.,Me gustaría pasar un mes en Cuba porque podría ver todos los lugares de la isla y no quiero pasar demasiado tiempo en [la]{el}<ga:mf:det:aty:inan> clima cálido.,[la]{el}<ga:mf:det:aty:inan>,ga:mf:det:aty:inan,el,la,"['Me', 'gustaría', 'pasar', 'un', 'mes', 'en', 'Cuba', 'porque', 'podría', 'ver', 'todos', 'los', 'lugares', 'de', 'la', 'isla', 'y', 'no', 'quiero', 'pasar', 'demasiado', 'tiempo', 'en', 'el', 'clima', 'cálido', '.']","['Me', 'gustaría', 'pasar', 'un', 'mes', 'en', 'Cuba', 'porque', 'podría', 'ver', 'todos', 'los', 'lugares', 'de', 'la', 'isla', 'y', 'no', 'quiero', 'pasar', 'demasiado', 'tiempo', 'en', 'la', 'clima', 'cálido', '.']","[23, 51]",gender agreement,"[30, 31, 58, 59]",Me gustaría pasar un mes en Cuba porque podría ver todos los lugares de la isla y no quiero pasar demasiado tiempo en el clima cálido.,Me gustaría pasar un mes en Cuba porque podría ver todos los lugares de la isla y no quiero pasar demasiado tiempo en la clima cálido.
688,1694,8fdc1b418e04831dca46de8913af34886d5c5d0f3a759d947310c77b8748dcfa,SPA 3,"Yo viajaba a Phoenix en enero de 2018, y mucho gusto este ciudad.","Yo viajaba a Phoenix en enero de 2018, y mucho gusto [este]{esta}<ga:fm:det:inan> ciudad.",[este]{esta}<ga:fm:det:inan>,ga:fm:det:inan,esta,este,"['Yo', 'viajaba', 'a', 'Phoenix', 'en', 'enero', 'de', '2018', ',', 'y', 'mucho', 'gusto', 'esta', 'ciudad', '.']","['Yo', 'viajaba', 'a', 'Phoenix', 'en', 'enero', 'de', '2018', ',', 'y', 'mucho', 'gusto', 'este', 'ciudad', '.']","[12, 28]",gender agreement,"[11, 13, 27, 29]","Yo viajaba a Phoenix en enero de 2018, y mucho gusto esta ciudad.","Yo viajaba a Phoenix en enero de 2018, y mucho gusto este ciudad."
689,1694,0fcd14b2d27b9804981be1f83e0b61071765aa7653144866ab06d72eb238d74b,SPA 3,"Arizona significa: una zona muy arido, y es la verdad cuando yo visito.","Arizona significa: una zona muy [arido]{árida}<ga:fm:adj:inan>, y es la verdad cuando yo visito.",[arido]{árida}<ga:fm:adj:inan>,ga:fm:adj:inan,árida,arido,"['Arizona', 'significa', ':', 'una', 'zona', 'muy', 'árida', ',', 'y', 'es', 'la', 'verdad', 'cuando', 'yo', 'visito', '.']","['Arizona', 'significa', ':', 'una', 'zona', 'muy', 'arido', ',', 'y', 'es', 'la', 'verdad', 'cuando', 'yo', 'visito', '.']","[6, 23]",gender agreement,"[3, 5, 20, 22]","Arizona significa: una zona muy árida, y es la verdad cuando yo visito.","Arizona significa: una zona muy arido, y es la verdad cuando yo visito."
690,1694,6e0756aca360e1b6ab7be24fbea268d1150ad15086e0e9ff78b9a76e030ed88f,SPA 3,Phoenix es un gran ciudad con menos trafico y bastante bien comida mexicana.,Phoenix es [un]{una}<ga:fm:det:inan> gran ciudad con menos trafico y bastante bien comida mexicana.,[un]{una}<ga:fm:det:inan>,ga:fm:det:inan,una,un,"['Phoenix', 'es', 'una', 'gran', 'ciudad', 'con', 'menos', 'trafico', 'y', 'bastante', 'bien', 'comida', 'mexicana', '.']","['Phoenix', 'es', 'un', 'gran', 'ciudad', 'con', 'menos', 'trafico', 'y', 'bastante', 'bien', 'comida', 'mexicana', '.']","[2, 17]",gender agreement,"[1, 3, 4, 16, 18, 19]",Phoenix es una gran ciudad con menos trafico y bastante bien comida mexicana.,Phoenix es un gran ciudad con menos trafico y bastante bien comida mexicana.
691,1694,7fb896312e7ac4320d28102f55b0d9cc4e9cc1c933c2acdf44acdf4775a620ef,SPA 3,Phoenix tambien tienes muchos montanas maravillosas y flores bonitas del desierto.,Phoenix tambien tienes [muchos]{muchas}<ga:fm:det:inan> montanas maravillosas y flores bonitas del desierto.,[muchos]{muchas}<ga:fm:det:inan>,ga:fm:det:inan,muchas,muchos,"['Phoenix', 'tambien', 'tienes', 'muchas', 'montanas', 'maravillosas', 'y', 'flores', 'bonitas', 'del', 'desierto', '.']","['Phoenix', 'tambien', 'tienes', 'muchos', 'montanas', 'maravillosas', 'y', 'flores', 'bonitas', 'del', 'desierto', '.']","[3, 16]",gender agreement,"[2, 4, 15, 17]",Phoenix tambien tienes muchas montanas maravillosas y flores bonitas del desierto.,Phoenix tambien tienes muchos montanas maravillosas y flores bonitas del desierto.
692,1694,09e8c92ae48d54aa21091e131ac17d02ea01755494aa2569a977911358aa2c89,SPA 3,Yo sabo que Phoenix es el mejor ciudad de los Estados Unidos.,Yo sabo que Phoenix es [el]{la}<ga:fm:det:inan> mejor ciudad de los Estados Unidos.,[el]{la}<ga:fm:det:inan>,ga:fm:det:inan,la,el,"['Yo', 'sabo', 'que', 'Phoenix', 'es', 'la', 'mejor', 'ciudad', 'de', 'los', 'Estados', 'Unidos', '.']","['Yo', 'sabo', 'que', 'Phoenix', 'es', 'el', 'mejor', 'ciudad', 'de', 'los', 'Estados', 'Unidos', '.']","[5, 19]",gender agreement,"[3, 6, 7, 17, 20, 21]",Yo sabo que Phoenix es la mejor ciudad de los Estados Unidos.,Yo sabo que Phoenix es el mejor ciudad de los Estados Unidos.
693,1696,644aabee8c8c1b34eb6f37118334e4f7d3df926a5f5d1cb50d34c68317f456dc,SPA 3,"Tanto *FIRST_NAME* como yo somos grandes admiradores de la serie Harry Potter, así que una de las primeras cosas que nos gustaría hacer es visitar el Warner Bros Studio Tour - la creación de Harry Potter.","Tanto *FIRST_NAME* como yo somos grandes [admiradores]{admiradoras}<ga:fm:noun:an> de la serie Harry Potter, así que una de las primeras cosas que nos gustaría hacer es visitar el Warner Bros Studio Tour - la creación de Harry Potter.",[admiradores]{admiradoras}<ga:fm:noun:an>,ga:fm:noun:an,admiradoras,admiradores,"['Tanto', '*', 'FIRST_NAME', '*', 'como', 'yo', 'somos', 'grandes', 'admiradoras', 'de', 'la', 'serie', 'Harry', 'Potter', ',', 'así', 'que', 'una', 'de', 'las', 'primeras', 'cosas', 'que', 'nos', 'gustaría', 'hacer', 'es', 'visitar', 'el', 'Warner', 'Bros', 'Studio', 'Tour', '-', 'la', 'creación', 'de', 'Harry', 'Potter', '.']","['Tanto', '*', 'FIRST_NAME', '*', 'como', 'yo', 'somos', 'grandes', 'admiradores', 'de', 'la', 'serie', 'Harry', 'Potter', ',', 'así', 'que', 'una', 'de', 'las', 'primeras', 'cosas', 'que', 'nos', 'gustaría', 'hacer', 'es', 'visitar', 'el', 'Warner', 'Bros', 'Studio', 'Tour', '-', 'la', 'creación', 'de', 'Harry', 'Potter', '.']","[8, 49]",gender agreement,"[6, 2, 1, 47, 43, 42]","Tanto *FIRST_NAME* como yo somos grandes admiradoras de la serie Harry Potter, así que una de las primeras cosas que nos gustaría hacer es visitar el Warner Bros Studio Tour- la creación de Harry Potter.","Tanto *FIRST_NAME* como yo somos grandes admiradores de la serie Harry Potter, así que una de las primeras cosas que nos gustaría hacer es visitar el Warner Bros Studio Tour- la creación de Harry Potter."
694,1698,259fb9d900e1caaf2da738213a41486ba92dfc6aebe3ca5fd8d86d45d5f92f3c,SPA 3,También las ruinas de los mayas son bien reconocido.,También las ruinas de los mayas son bien [reconocido]{reconocidas}<ga:na:fm:ps:adj:inan>.,[reconocido]{reconocidas}<ga:na:fm:ps:adj:inan>,ga:na:fm:ps:adj:inan,reconocidas,reconocido,"['También', 'las', 'ruinas', 'de', 'los', 'mayas', 'son', 'bien', 'reconocidas', '.']","['También', 'las', 'ruinas', 'de', 'los', 'mayas', 'son', 'bien', 'reconocido', '.']","[8, 19]",gender and number agreement,"[1, 2, 6, 12, 13, 17]",También las ruinas de los mayas son bien reconocidas.,También las ruinas de los mayas son bien reconocido.
695,1698,0c0253c1286aa2604488b953d9a44562e76d583c2573157731cf05ec8028f8db,SPA 3,Unas de las cosas que tengo muchas ganas de hacer es ir a ver la guelaguetza.,[Unas]{una}<na:sp:pron:inan> de las cosas que tengo muchas ganas de hacer es ir a ver la guelaguetza.,[Unas]{una}<na:sp:pron:inan>,na:sp:pron:inan,una,Unas,"['una', 'de', 'las', 'cosas', 'que', 'tengo', 'muchas', 'ganas', 'de', 'hacer', 'es', 'ir', 'a', 'ver', 'la', 'guelaguetza', '.']","['Unas', 'de', 'las', 'cosas', 'que', 'tengo', 'muchas', 'ganas', 'de', 'hacer', 'es', 'ir', 'a', 'ver', 'la', 'guelaguetza', '.']","[0, 18]",number agreement,"[1, 2, 3, 19, 20, 21]",una de las cosas que tengo muchas ganas de hacer es ir a ver la guelaguetza.,Unas de las cosas que tengo muchas ganas de hacer es ir a ver la guelaguetza.
696,1701,76e75a7059eb332f02f0cffd4bc57e6ab695a682998149fb1ce22afe980ef351,SPA 3,La comida en los vuelos es normalmente malo y no hay nada que hacer.,La comida en los vuelos es normalmente [malo]{mala}<ga:fm:adj:inan> y no hay nada que hacer.,[malo]{mala}<ga:fm:adj:inan>,ga:fm:adj:inan,mala,malo,"['La', 'comida', 'en', 'los', 'vuelos', 'es', 'normalmente', 'mala', 'y', 'no', 'hay', 'nada', 'que', 'hacer', '.']","['La', 'comida', 'en', 'los', 'vuelos', 'es', 'normalmente', 'malo', 'y', 'no', 'hay', 'nada', 'que', 'hacer', '.']","[7, 23]",gender agreement,"[1, 6, 17, 22]",La comida en los vuelos es normalmente mala y no hay nada que hacer.,La comida en los vuelos es normalmente malo y no hay nada que hacer.
697,1702,81d86fe52068960833ba84a8e9cbbd2016eef78374211766e5f92e32898de6ad,SPA 3,"De acuerdo de la historia, el Arco de Noah aterrizado en las montanas de Ararat.","De acuerdo de la historia, el [Arco]{arca}<ig:m:noun:inan> de Noah aterrizado en las montanas de Ararat.",[Arco]{arca}<ig:m:noun:inan>,ig:m:noun:inan,arca,Arco,"['De', 'acuerdo', 'de', 'la', 'historia', ',', 'el', 'arca', 'de', 'Noah', 'aterrizado', 'en', 'las', 'montanas', 'de', 'Ararat', '.']","['De', 'acuerdo', 'de', 'la', 'historia', ',', 'el', 'Arco', 'de', 'Noah', 'aterrizado', 'en', 'las', 'montanas', 'de', 'Ararat', '.']","[7, 25]",gender agreement,"[6, 8, 9, 24, 26, 27]","De acuerdo de la historia, el arca de Noah aterrizado en las montanas de Ararat.","De acuerdo de la historia, el Arco de Noah aterrizado en las montanas de Ararat."
698,1702,2c295c17572ab67458a0b2cc7c4d8f481c485dbb6d38f10f04932e3475e303f3,SPA 3,Yo iria de excursion para mirar los ruinos de iglesias con mi familia.,Yo iria de excursion para mirar los [ruinos]{ruinas}<ga:fm:noun:inan> de iglesias con mi familia.,[ruinos]{ruinas}<ga:fm:noun:inan>,ga:fm:noun:inan,ruinas,ruinos,"['Yo', 'iria', 'de', 'excursion', 'para', 'mirar', 'los', 'ruinas', 'de', 'iglesias', 'con', 'mi', 'familia', '.']","['Yo', 'iria', 'de', 'excursion', 'para', 'mirar', 'los', 'ruinos', 'de', 'iglesias', 'con', 'mi', 'familia', '.']","[7, 22]",gender agreement,"[8, 9, 10, 23, 24, 25]",Yo iria de excursion para mirar los ruinas de iglesias con mi familia.,Yo iria de excursion para mirar los ruinos de iglesias con mi familia.
699,1702,ab1d4fa32d8f03c2d8c2ce519750d87cb47b84a713f752523d2db94cb7a0f324,SPA 3,Nosotros viajariamos el capital de Yerevan y comprariamos en el mercado de Vernissage.,Nosotros viajariamos [el]{la}<ga:fm:det:inan> capital de Yerevan y comprariamos en el mercado de Vernissage.,[el]{la}<ga:fm:det:inan>,ga:fm:det:inan,la,el,"['Nosotros', 'viajariamos', 'la', 'capital', 'de', 'Yerevan', 'y', 'comprariamos', 'en', 'el', 'mercado', 'de', 'Vernissage', '.']","['Nosotros', 'viajariamos', 'el', 'capital', 'de', 'Yerevan', 'y', 'comprariamos', 'en', 'el', 'mercado', 'de', 'Vernissage', '.']","[2, 17]",gender agreement,"[3, 18]",Nosotros viajariamos la capital de Yerevan y comprariamos en el mercado de Vernissage.,Nosotros viajariamos el capital de Yerevan y comprariamos en el mercado de Vernissage.
700,1702,29b51fa21ab4421f83a5fffcd62cd54596e833975523063d7afa508083fa4e06,SPA 3,En la ciudad de capital que veria uno concierto de System of a Down y otros personas.,En la ciudad de capital que veria uno concierto de System of a Down y [otros]{otras}<ga:fm:det:an> personas.,[otros]{otras}<ga:fm:det:an>,ga:fm:det:an,otras,otros,"['En', 'la', 'ciudad', 'de', 'capital', 'que', 'veria', 'uno', 'concierto', 'de', 'System', 'of', 'a', 'Down', 'y', 'otras', 'personas', '.']","['En', 'la', 'ciudad', 'de', 'capital', 'que', 'veria', 'uno', 'concierto', 'de', 'System', 'of', 'a', 'Down', 'y', 'otros', 'personas', '.']","[15, 34]",gender agreement,"[19, 20, 38, 39]",En la ciudad de capital que veria uno concierto de System of a Down y otras personas.,En la ciudad de capital que veria uno concierto de System of a Down y otros personas.
701,1702,b8fe5d72ecf3bef61846a9bd232fbc146cf158fb4bbe3db49e3bf250d3288bd7,SPA 3,Armenia hace alfombros bonitos.,Armenia hace [alfombros]{alfombras}<ig:m:noun:inan> bonitos.,[alfombros]{alfombras}<ig:m:noun:inan>,ig:m:noun:inan,alfombras,alfombros,"['Armenia', 'hace', 'alfombras', 'bonitos', '.']","['Armenia', 'hace', 'alfombros', 'bonitos', '.']","[2, 8]",gender agreement,"[0, 1, 3, 6, 7, 9]",Armenia hace alfombras bonitos.,Armenia hace alfombros bonitos.
702,1704,504e69a8eb9a5dda8f85c35139052ee29d03cdf7018d606d7df47e832566044c,SPA 3,La vacación perfecta es un crucero de Caribe.,La [vacación]{vacaciones}<in:s:noun:inan> perfecta es un crucero de Caribe.,[vacación]{vacaciones}<in:s:noun:inan>,in:s:noun:inan,vacaciones,vacación,"['La', 'vacaciones', 'perfecta', 'es', 'un', 'crucero', 'de', 'Caribe', '.']","['La', 'vacación', 'perfecta', 'es', 'un', 'crucero', 'de', 'Caribe', '.']","[1, 11]",number agreement,"[0, 10]",La vacaciones perfecta es un crucero de Caribe.,La vacación perfecta es un crucero de Caribe.
703,1704,058b182779d968f17dc63e2553027cd02e9f608c2a4896019e6f58b4af6f4398,SPA 3,"Las playas son muy hermosa, porque el mar es muy claro y azul.","Las playas son muy [hermosa]{hermosas}<na:ps:adj:inan>, porque el mar es muy claro y azul.",[hermosa]{hermosas}<na:ps:adj:inan>,na:ps:adj:inan,hermosas,hermosa,"['Las', 'playas', 'son', 'muy', 'hermosas', ',', 'porque', 'el', 'mar', 'es', 'muy', 'claro', 'y', 'azul', '.']","['Las', 'playas', 'son', 'muy', 'hermosa', ',', 'porque', 'el', 'mar', 'es', 'muy', 'claro', 'y', 'azul', '.']","[4, 20]",number agreement,"[1, 17]","Las playas son muy hermosas, porque el mar es muy claro y azul.","Las playas son muy hermosa, porque el mar es muy claro y azul."
704,1704,d7b04bf586c15fd3b069b1d960f959f7f472e07393f7fa685d6fb990ae598949,SPA 3,Hay muchos tiendas libres de impuestos porque quieren los turistas comprar muchas cosas caras.,Hay [muchos]{muchas}<ga:fm:det:inan> tiendas libres de impuestos porque quieren los turistas comprar muchas cosas caras.,[muchos]{muchas}<ga:fm:det:inan>,ga:fm:det:inan,muchas,muchos,"['Hay', 'muchas', 'tiendas', 'libres', 'de', 'impuestos', 'porque', 'quieren', 'los', 'turistas', 'comprar', 'muchas', 'cosas', 'caras', '.']","['Hay', 'muchos', 'tiendas', 'libres', 'de', 'impuestos', 'porque', 'quieren', 'los', 'turistas', 'comprar', 'muchas', 'cosas', 'caras', '.']","[1, 17]",gender agreement,"[2, 18]",Hay muchas tiendas libres de impuestos porque quieren los turistas comprar muchas cosas caras.,Hay muchos tiendas libres de impuestos porque quieren los turistas comprar muchas cosas caras.
705,1704,b3af2b5c41c19b1488c41bd2e5e1517c02490795de7022b547893bee068d5b56,SPA 3,"En una vacación perfecta, necesitas ir a la playa.","En una [vacación]{vacaciones}<in:s:noun:inan> perfecta, necesitas ir a la playa.",[vacación]{vacaciones}<in:s:noun:inan>,in:s:noun:inan,vacaciones,vacación,"['En', 'una', 'vacaciones', 'perfecta', ',', 'necesitas', 'ir', 'a', 'la', 'playa', '.']","['En', 'una', 'vacación', 'perfecta', ',', 'necesitas', 'ir', 'a', 'la', 'playa', '.']","[2, 14]",number agreement,"[1, 13]","En una vacaciones perfecta, necesitas ir a la playa.","En una vacación perfecta, necesitas ir a la playa."
706,1707,d31ccbd286783d2abe2d52b5b62bc13a661909cbd41559fdcaf04284a2526ec4,SPA 3,"Me gustaría visitar muchas países come España, Francia, Italia, e Inglaterra.","Me gustaría visitar [muchas]{muchos}<ga:mf:det:inan> países come España, Francia, Italia, e Inglaterra.",[muchas]{muchos}<ga:mf:det:inan>,ga:mf:det:inan,muchos,muchas,"['Me', 'gustaría', 'visitar', 'muchos', 'países', 'come', 'España', ',', 'Francia', ',', 'Italia', ',', 'e', 'Inglaterra', '.']","['Me', 'gustaría', 'visitar', 'muchas', 'países', 'come', 'España', ',', 'Francia', ',', 'Italia', ',', 'e', 'Inglaterra', '.']","[3, 19]",gender agreement,"[2, 4, 18, 20]","Me gustaría visitar muchos países come España, Francia, Italia, e Inglaterra.","Me gustaría visitar muchas países come España, Francia, Italia, e Inglaterra."
707,1711,f956747cb02e4408c528bf7f10953045e59e7d963618f60a4479bdc748dfbeae,SPA 1,"A perfect vacation

Me gusta ir a una vacación en Francia porque me gusta Francia.",A perfect vacation Me gusta ir a una [vacación]{vacaciones}<in:s:noun:inan> en Francia porque me gusta Francia.,[vacación]{vacaciones}<in:s:noun:inan>,in:s:noun:inan,vacaciones,vacación,"['A', 'perfect', 'vacation', 'Me', 'gusta', 'ir', 'a', 'una', 'vacaciones', 'en', 'Francia', 'porque', 'me', 'gusta', 'Francia', '.']","['A', 'perfect', 'vacation', 'Me', 'gusta', 'ir', 'a', 'una', 'vacación', 'en', 'Francia', 'porque', 'me', 'gusta', 'Francia', '.']","[8, 25]",number agreement,"[6, 7, 23, 24]",A perfect vacation Me gusta ir a una vacaciones en Francia porque me gusta Francia.,A perfect vacation Me gusta ir a una vacación en Francia porque me gusta Francia.
708,1712,8627cde45d713b516c1316f9af83020340a0b458223f1ef7f1a243689a5775ce,SPA 3," 

Si fuera ir a la vacacion perfecta, iria a la Hawaii.","Si fuera ir a la [vacacion]{vacaciones}<in:s:noun:inan> perfecta, iria a la Hawaii.",[vacacion]{vacaciones}<in:s:noun:inan>,in:s:noun:inan,vacaciones,vacacion,"['Si', 'fuera', 'ir', 'a', 'la', 'vacaciones', 'perfecta', ',', 'iria', 'a', 'la', 'Hawaii', '.']","['Si', 'fuera', 'ir', 'a', 'la', 'vacacion', 'perfecta', ',', 'iria', 'a', 'la', 'Hawaii', '.']","[5, 19]",number agreement,"[6, 7, 20, 21]","Si fuera ir a la vacaciones perfecta, iria a la Hawaii.","Si fuera ir a la vacacion perfecta, iria a la Hawaii."
